Player,Span,Mat,Runs,HS,Bat Av,100,Wkts,BBI,Bowl Av,5,Ct,St,Ave Diff
S Amarnath,1976-1978,13,650,124,30.95,1,1,01-May,5,0,5,0,25.95
D Dasgupta,2001-2002,13,395,100,26.33,1,-,-,-,-,15,1,-
RR Kulkarni,1983-1987,13,35,15,8.75,0,15,Mar-42,38.13,0,3,0,-29.38
SN Thakur,2017-2018,13,26,22*,26,0,14,Apr-27,33.5,0,6,0,-7.49
MK Tiwary,2011-2015,13,298,104*,29.8,1,5,Apr-61,30,0,6,0,-0.19
R Vijay Bharadwaj,1999-2002,13,164,41*,20.5,0,17,Mar-34,24.35,0,7,0,-3.85
Washington Sundar,2017-2019,13,12,8*,12,0,13,Mar-22,25.61,0,5,0,-13.61
AS Wassan,1990-1991,13,127,53,15.87,0,21,4/108,37.47,0,3,0,-21.6
AC Bedade,1994-1994,12,158,51,22.57,0,-,-,-,-,4,0,-
PG Joshi,1951-1960,12,207,52*,10.89,0,-,-,-,-,18,9,-
AR Khurasiya,1999-2001,12,149,57,13.54,0,-,-,-,-,3,0,-
V Rathour,1996-1997,12,301,54,18.81,0,-,-,-,-,16,0,-
Jai P Yadav,2002-2005,12,81,69,20.25,0,6,Feb-32,54.33,0,3,0,-34.08
DK Gaekwad,1952-1961,11,350,52,18.42,0,0,-,-,0,5,0,-
NM Kulkarni,1997-2001,11,11,4,3.66,0,12,Mar-27,56.16,0,2,0,-52.49
S Mushtaq Ali,1934-1952,11,612,112,32.21,2,3,Jan-45,67.33,0,7,0,-35.12
CS Nayudu,1934-1952,11,147,36,9.18,0,2,Jan-19,179.5,0,3,0,-170.31
RL Sanghvi,1998-2001,11,10,8,2.5,0,12,Mar-29,39.75,0,4,0,-37.24
Surendranath,1958-1961,11,136,27,10.46,0,26,May-75,40.5,2,4,0,-30.03
S Badrinath,2008-2011,10,185,56,20.55,0,-,-,-,-,4,0,-
AA Baig,1959-1967,10,428,112,23.77,1,0,-,-,0,6,0,-
A Chopra,2003-2004,10,437,60,23,0,-,-,-,-,15,0,-
RS Gavaskar,2004-2004,10,151,54,18.87,0,1,Jan-56,74,0,4,0,-55.12
JJ Martin,1999-2001,10,158,39,22.57,0,-,-,-,-,6,0,-
VM Merchant,1933-1951,10,859,154,47.72,3,0,-,-,0,7,0,-
RS Modi,1946-1952,10,736,112,46,1,0,-,-,0,3,0,-
SV Bahutule,1997-2003,9,62,21*,10.33,0,5,Jan-31,97.2,0,4,0,-86.86
A Mithun,2010-2011,9,171,46,21.37,0,12,4/105,54.91,0,1,0,-33.54
CT Sarwate,1946-1951,9,208,37,13,0,3,Jan-16,124.66,0,0,0,-111.66
V Subramanya,1965-1968,9,263,75,18.78,0,3,Feb-32,67,0,9,0,-48.21
JM Ghorpade,1953-1959,8,229,41,15.26,0,0,-,-,0,4,0,-
CD Gopinath,1951-1960,8,242,50*,22,0,1,01-Nov,11,0,2,0,11
Gul Mohammad,1946-1952,8,166,34,11.06,0,2,Feb-21,12,0,3,0,-0.93
Joginder Sharma,2004-2007,8,35,29*,35,0,5,Feb-20,50.6,0,5,0,-15.59
SC Khanna,1979-1984,8,169,56,28.16,0,-,-,-,-,4,4,-
T Kumaran,1999-2000,8,19,8,6.33,0,9,Mar-24,38.66,0,3,0,-32.33
VL Mehra,1955-1964,8,329,62,25.3,0,0,-,-,0,1,0,-
KK Nair,2016-2017,8,420,303*,52.5,1,0,-,-,0,6,0,-
GAHM Parkar,1982-1984,8,137,42,17.12,0,-,-,-,-,5,0,-
Sarandeep Singh,2000-2003,8,90,39*,22.5,0,13,4/136,40,0,3,0,-17.49
BB Sran,2016-2016,8,-,-,-,-,13,04-Oct,23.84,0,1,0,-
S Sriram,2000-2004,8,81,57,13.5,0,9,Mar-43,30.44,0,1,0,-16.94
MA Agarwal,2018-2019,7,615,215,55.9,2,-,-,-,-,6,0,-
L Amar Singh,1932-1936,7,292,51,22.46,0,28,Jul-86,30.64,2,3,0,-8.18
ML Apte,1952-1953,7,542,163*,49.27,1,0,-,-,0,2,0,-
ST Banerjee,1991-1992,7,52,25*,17.33,0,8,Mar-30,31.12,0,3,0,-13.79
VB Chandrasekhar,1988-1990,7,88,53,12.57,0,-,-,-,-,0,0,-
DJ Gandhi,1999-2000,7,253,88,28.11,0,-,-,-,-,3,0,-
A Mukund,2011-2017,7,320,81,22.85,0,0,-,-,0,6,0,-
CK Nayudu,1932-1936,7,350,81,25,0,9,Mar-40,42.88,0,4,0,-17.88
JM Patel,1955-1960,7,25,12,2.77,0,29,Sep-69,21.96,2,2,0,-19.18
VB Ranjane,1958-1964,7,40,16,6.66,0,19,Apr-72,34.15,0,1,0,-27.49
B Reddy,1978-1981,7,49,21,12.25,0,-,-,-,-,11,2,-
PH Sharma,1974-1977,7,207,54,17.25,0,0,-,-,0,1,0,-
SG Shinde,1946-1952,7,85,14,14.16,0,12,Jun-91,59.75,1,0,0,-45.58
VRV Singh,2006-2007,7,55,29,11,0,8,Mar-48,66.5,0,4,0,-55.49
GH Vihari,2018-2019,7,466,111,42.36,1,5,Mar-37,36,0,1,0,6.36
S Wazir Ali,1932-1936,7,237,42,16.92,0,0,-,-,0,1,0,-
B Yograj Singh,1980-1981,7,11,6,2.75,0,5,Feb-44,49.8,0,2,0,-47.04
B Arun,1986-1987,6,25,8,8.33,0,5,Mar-76,43.8,0,2,0,-35.46
CV Gadkari,1953-1955,6,129,50*,21.5,0,0,-,-,0,6,0,-
RS Ghai,1984-1986,6,1,1,1,0,3,Jan-38,86.66,0,0,0,-85.66
S Kaul,2018-2019,6,1,1,0.5,0,4,Feb-35,65.75,0,1,0,-65.24
P Krishnamurthy,1971-1976,6,39,20,5.57,0,-,-,-,-,8,2,-
SV Nayak,1981-1982,6,22,11,7.33,0,2,Jan-16,146.5,0,2,0,-139.16
M Nissar,1932-1936,6,55,14,6.87,0,25,May-90,28.28,3,2,0,-21.4
AK Patel,1984-1985,6,0,0,0,0,7,Mar-43,37.57,0,1,0,-37.57
LS Rajput,1985-1987,6,114,61,16.28,0,0,-,-,0,3,0,-
TAP Sekhar,1983-1985,6,0,0*,-,0,5,Mar-23,51.4,0,0,0,-
R Sharma,2011-2012,6,1,1,1,0,9,Mar-43,25.88,0,1,0,-24.88
T Yohannan,2001-2002,6,20,8*,-,0,10,Mar-33,37.8,0,1,0,-
DL Chahar,2018-2019,5,12,12,12,0,7,03-Apr,17.28,0,0,0,-5.28
RV Divecha,1951-1952,5,60,26,12,0,11,3/102,32.81,0,5,0,-20.81
D Ganesh,1997-1997,5,29,8,5.8,0,6,Feb-28,51.16,0,0,0,-45.36
RB Kenny,1958-1960,5,245,62,27.22,0,-,-,-,-,1,0,-
G Kishenchand,1947-1952,5,89,44,8.9,0,-,-,-,-,1,0,-
SS Naik,1974-1975,5,179,77,22.37,0,-,-,-,-,0,0,-
PH Punjabi,1955-1955,5,164,33,16.4,0,-,-,-,-,5,0,-
V Razdan,1989-1990,5,29,18,9.66,0,6,May-79,36.33,1,4,0,-26.66
NA Saini,2019-2019,5,0,0*,-,0,6,Mar-17,22.83,0,1,0,-
J Yadav,2016-2017,5,229,104,45.8,1,12,Mar-30,31.25,0,2,0,14.55
NA David,1997-1997,4,9,8*,-,0,4,Mar-21,33.25,0,0,0,-
R Dhawan,2016-2016,4,13,9,13,0,2,Jan-42,101,0,2,0,-87.99
S Guha,1967-1969,4,17,6,3.4,0,3,Feb-55,103.66,0,2,0,-100.26
DD Hindlekar,1936-1946,4,71,26,14.2,0,-,-,-,-,3,0,-
KC Ibrahim,1948-1949,4,169,85,21.12,0,-,-,-,-,0,0,-
KS Indrajitsinhji,1964-1969,4,51,23,8.5,0,-,-,-,-,6,3,-
M Jahangir Khan,1932-1936,4,39,13,5.57,0,4,Apr-60,63.75,0,4,0,-58.17
UN Kulkarni,1967-1968,4,13,7,4.33,0,5,Feb-37,47.6,0,0,0,-43.26
MK Mantri,1951-1955,4,67,39,9.57,0,-,-,-,-,8,1,-
PL Mhambrey,1996-1998,4,65,28,32.5,0,3,Jan-22,66.33,0,1,0,-33.83
AG Milkha Singh,1960-1961,4,92,35,15.33,0,0,-,-,0,2,0,-
Mohammed Siraj,2017-2019,4,-,-,-,-,3,Jan-45,74.66,0,1,0,-
MV Narasimha Rao,1978-1979,4,46,20*,9.2,0,3,Feb-46,75.66,0,8,0,-66.46
NV Ojha,2010-2015,4,69,35,13.8,0,-,-,-,-,4,2,-
JV Paranjpe,1998-1998,4,54,27,18,0,-,-,-,-,2,0,-
CR Rangachari,1948-1948,4,8,8*,2.66,0,9,5/107,54.77,1,0,0,-52.11
AK Roy,1969-1969,4,91,48,13,0,-,-,-,-,0,0,-
AM Salvi,2003-2003,4,4,4*,2,0,4,Feb-15,30,0,2,0,-27.99
KV Sharma,2014-2014,4,8,4*,8,0,5,Feb-95,78.2,0,3,0,-70.19
SW Sohoni,1946-1951,4,83,29*,16.6,0,2,Jan-16,101,0,2,0,-84.39
S Tyagi,2009-2010,4,1,1*,-,0,2,Jan-24,75,0,2,0,-
PS Vaidya,1995-1996,4,15,12,7.5,0,4,Feb-41,43.5,0,2,0,-35.99
Yajurvindra Singh,1977-1979,4,109,43*,18.16,0,0,-,-,0,11,0,-
P Bhandari,1955-1956,3,77,39,19.25,0,0,-,-,0,1,0,-
U Chatterjee,1995-1995,3,6,3*,6,0,3,Feb-35,39,0,1,0,-32.99
Dilawar Hussain,1934-1936,3,254,59,42.33,0,-,-,-,-,6,1,-
BP Gupte,1961-1965,3,28,17*,28,0,3,Jan-54,116.33,0,0,0,-88.33
Gurkeerat Singh,2016-2016,3,13,8,6.5,0,0,-,-,0,1,0,-
AH Kardar,1946-1946,3,80,43,16,0,-,-,-,-,1,0,-
Mandeep Singh,2016-2016,3,87,52*,43.5,0,-,-,-,-,1,0,-
SP Mukherjee,1990-1991,3,2,2*,-,0,2,Jan-30,49,0,1,0,-
Naoomal Jaoomal,1932-1934,3,108,43,27,0,2,01-Apr,34,0,0,0,-6.99
Pankaj Singh,2010-2014,3,13,9,4.33,0,2,2/113,168.5,0,3,0,-164.16
Nawab of Pataudi snr,1946-1946,3,55,22,11,0,-,-,-,-,0,0,-
KM Rangnekar,1947-1948,3,33,18,5.5,0,-,-,-,-,1,0,-
RH Shodhan,1952-1953,3,181,110,60.33,1,0,-,-,0,1,0,-
LR Shukla,1999-1999,3,18,13,9,0,1,Jan-25,94,0,1,0,-84.99
TE Srinivasan,1980-1981,3,58,29,14.5,0,-,-,-,-,0,0,-
SS Tiwary,2010-2010,3,49,37*,-,0,-,-,-,-,2,0,-
Vizianagram,1936-1936,3,33,19*,8.25,0,-,-,-,-,1,0,-
P Awana,2012-2012,2,-,-,-,-,0,-,-,0,0,0,-
A Bhandari,2000-2004,2,0,0*,-,0,5,Mar-31,21.2,0,0,0,-
AR Bhat,1983-1983,2,6,6,3,0,4,Feb-65,37.75,0,0,0,-34.74
Bhupinder Singh snr,1994-1994,2,6,6,6,0,3,Mar-34,26,0,0,0,-19.99
NR Chowdhury,1949-1951,2,3,3*,3,0,1,1/130,205,0,0,0,-201.99
SHM Colah,1932-1933,2,69,31,17.25,0,-,-,-,-,2,0,-
A Gandotra,1969-1969,2,54,18,13.5,0,0,-,-,0,1,0,-
MS Gony,2008-2008,2,-,-,-,-,2,Feb-65,38,0,0,0,-
GM Guard,1958-1960,2,11,7,5.5,0,3,Feb-69,60.66,0,2,0,-55.16
Gursharan Singh,1990-1990,2,22,18,11,0,-,-,-,-,3,0,-
MS Hardikar,1958-1958,2,56,32*,18.66,0,1,01-Sep,55,0,3,0,-36.33
JK Irani,1947-1947,2,3,2*,3,0,-,-,-,-,2,1,-
DJ Johnson,1996-1996,2,8,5,4,0,3,Feb-52,47.66,0,0,0,-43.66
HS Kanitkar,1974-1974,2,111,65,27.75,0,-,-,-,-,0,0,-
GK Khoda,1998-1998,2,115,89,57.5,0,-,-,-,-,0,0,-
VV Kumar,1961-1961,2,6,6,3,0,7,May-64,28.85,1,2,0,-25.85
ES Maka,1952-1953,2,2,2*,-,0,-,-,-,-,2,1,-
VM Muddiah,1959-1960,2,11,11,5.5,0,3,Feb-40,44.66,0,0,0,-39.16
JG Navle,1932-1933,2,42,13,10.5,0,-,-,-,-,1,0,-
AM Nayar,2009-2009,2,0,0*,-,0,0,-,-,0,0,0,-
S Nazir Ali,1932-1934,2,30,13,7.5,0,4,Apr-83,20.75,0,0,0,-13.24
PE Palia,1932-1936,2,29,16,9.66,0,0,-,-,0,0,0,-
GK Pandey,1999-1999,2,4,4*,4,0,0,-,-,0,0,0,-
RD Parkar,1972-1973,2,80,35,20,0,-,-,-,-,0,0,-
DD Parsana,1979-1979,2,1,1,0.5,0,1,Jan-32,50,0,0,0,-49.49
Parvez Rasool,2014-2017,2,5,5,5,0,3,Feb-60,30.66,0,0,0,-25.66
RGM Patel,1988-1988,2,0,0,0,0,0,-,-,0,1,0,-
C Ramaswami,1936-1936,2,170,60,56.66,0,-,-,-,-,0,0,-
Randhir Singh,1981-1983,2,-,-,-,-,1,Jan-30,48,0,0,0,-
SS Raul,1998-1998,2,8,8,4,0,1,Jan-13,27,0,0,0,-22.99
P Roy,1982-1982,2,71,60*,35.5,0,-,-,-,-,1,0,-
Sandeep Sharma,2015-2015,2,1,1*,-,0,1,Jan-39,73,0,0,0,-
PP Shaw,2018-2018,2,237,134,118.5,1,-,-,-,-,2,0,-
Shubman Gill,2019-2019,2,16,9,8,0,-,-,-,-,0,0,-
S Somasunder,1996-1996,2,16,9,8,0,-,-,-,-,0,0,-
GR Sunderam,1955-1956,2,3,3*,-,0,3,Feb-46,55.33,0,0,0,-
M Venkataramana,1988-1989,2,0,0*,-,0,3,Feb-36,31.33,0,1,0,-
Amir Elahi,1947-1947,1,17,13,8.5,0,-,-,-,-,0,0,-
AL Apte,1959-1959,1,15,8,7.5,0,-,-,-,-,0,0,-
S Aravind,2015-2015,1,-,-,-,-,1,Jan-44,44,0,0,0,-
SA Banerjee,1948-1949,1,0,0,0,0,5,4/120,36.2,0,3,0,-36.19
SN Banerjee,1949-1949,1,13,8,6.5,0,5,Apr-54,25.4,0,0,0,-18.89
M Baqa Jilani,1936-1936,1,16,12,16,0,0,-,-,0,0,0,-
GK Bose,1974-1974,1,13,13,13,0,1,Jan-39,39,0,0,0,-25.99
RD Chahar,2019-2019,1,-,-,-,-,1,Jan-27,27,0,0,0,-
HT Dani,1952-1952,1,-,-,-,-,1,01-Sep,19,0,1,0,-
P Dharmani,1996-1996,1,8,8,8,0,-,-,-,-,0,0,-
FY Fazal,2016-2016,1,55,55*,-,0,-,-,-,-,0,0,-
HG Gaekwad,1952-1952,1,22,14,11,0,0,-,-,0,0,0,-
MJ Gopalan,1934-1934,1,18,11*,18,0,1,Jan-39,39,0,3,0,-20.99
LP Jai,1933-1933,1,19,19,9.5,0,-,-,-,-,0,0,-
RJD Jamshedji,1933-1933,1,5,4*,-,0,3,3/137,45.66,0,2,0,-
HK Jayantilal,1971-1971,1,5,5,5,0,-,-,-,-,0,0,-
AV Kale,2003-2003,1,10,10,10,0,-,-,-,-,0,0,-
Lall Singh,1932-1932,1,44,29,22,0,-,-,-,-,1,0,-
M Markande,2019-2019,1,-,-,-,-,0,-,-,0,0,0,-
KR Meherhomji,1936-1936,1,0,0*,-,0,-,-,-,-,1,0,-
S Nadeem,2019-2019,1,1,1*,-,0,4,Feb-18,10,0,1,0,-
P Negi,2016-2016,1,-,-,-,-,1,Jan-16,16,0,2,0,-
S Nyalchand,1952-1952,1,7,6*,7,0,3,Mar-97,32.33,0,0,0,-25.33
AM Pai,1969-1969,1,10,9,5,0,2,Feb-29,15.5,0,0,0,-10.49
CT Patankar,1955-1956,1,14,13,14,0,-,-,-,-,3,1,-
Yuvraj of Patiala,1934-1934,1,84,60,42,0,-,-,-,-,2,0,-
SR Patil,1955-1955,1,14,14*,-,0,2,Jan-15,25.5,0,1,0,-
K Rai Singh,1948-1948,1,26,24,13,0,-,-,-,-,0,0,-
V Rajindernath,1952-1952,1,-,-,-,-,-,-,-,-,0,4,-
Rajinder Pal,1964-1964,1,6,3*,6,0,0,-,-,0,0,0,-
L Ramji,1933-1933,1,1,1,0.5,0,0,-,-,0,1,0,-
MR Rege,1949-1949,1,15,15,7.5,0,-,-,-,-,1,0,-
SV Samson,2015-2015,1,19,19,19,0,-,-,-,-,1,0,-
RC Saxena,1967-1967,1,25,16,12.5,0,0,-,-,0,0,0,-
AK Sengupta,1959-1959,1,9,8,4.5,0,-,-,-,-,0,0,-
RC Shukla,1982-1982,1,-,-,-,-,2,Feb-82,76,0,0,0,-
IR Siddiqui,2001-2001,1,29,24,29,0,1,Jan-32,48,0,1,0,-18.99
R Singh,1999-1999,1,0,0,0,0,3,Feb-74,58.66,0,1,0,-58.66
RP Singh,1986-1986,1,-,-,-,-,1,Jan-58,58,0,0,0,-
MM Sood,1960-1960,1,3,3,1.5,0,-,-,-,-,0,0,-
R Sudhakar Rao,1976-1976,1,4,4,4,0,-,-,-,-,1,0,-
VN Swamy,1955-1955,1,-,-,-,-,0,-,-,0,0,0,-
KK Tarapore,1948-1948,1,2,2,2,0,0,-,-,0,0,0,-